0.437032 (0.046890) with: {'batch_size': 32, 'model__activation': 'tanh', 'model__num1': 200, 'model__num2': 100, 'model__optimizer': 'Adagrad'}
0.671446 (0.050707) with: {'batch_size': 32, 'model__activation': 'tanh', 'model__num1': 200, 'model__num2': 100, 'model__optimizer': 'Adam'}
0.468707 (0.029389) with: {'batch_size': 32, 'model__activation': 'tanh', 'model__num1': 200, 'model__num2': 200, 'model__optimizer': 'SGD'}
0.434976 (0.023802) with: {'batch_size': 32, 'model__activation': 'tanh', 'model__num1': 200, 'model__num2': 200, 'model__optimizer': 'Adagrad'}
0.668685 (0.007566) with: {'batch_size': 32, 'model__activation': 'tanh', 'model__num1': 200, 'model__num2': 200, 'model__optimizer': 'Adam'}
0.354390 (0.150829) with: {'batch_size': 32, 'model__activation': 'tanh', 'model__num1': 200, 'model__num2': 400, 'model__optimizer': 'SGD'}
0.406806 (0.039897) with: {'batch_size': 32, 'model__activation': 'tanh', 'model__num1': 200, 'model__num2': 400, 'model__optimizer': 'Adagrad'}
0.598633 (0.010068) with: {'batch_size': 32, 'model__activation': 'tanh', 'model__num1': 200, 'model__num2': 400, 'model__optimizer': 'Adam'}
0.394978 (0.117724) with: {'batch_size': 32, 'model__activation': 'tanh', 'model__num1': 400, 'model__num2': 100, 'model__optimizer': 'SGD'}
0.449324 (0.038654) with: {'batch_size': 32, 'model__activation': 'tanh', 'model__num1': 400, 'model__num2': 100, 'model__optimizer': 'Adagrad'}
-0.505061 (1.710652) with: {'batch_size': 32, 'model__activation': 'tanh', 'model__num1': 400, 'model__num2': 100, 'model__optimizer': 'Adam'}
0.486063 (0.026141) with: {'batch_size': 32, 'model__activation': 'tanh', 'model__num1': 400, 'model__num2': 200, 'model__optimizer': 'SGD'}
0.434214 (0.029348) with: {'batch_size': 32, 'model__activation': 'tanh', 'model__num1': 400, 'model__num2': 200, 'model__optimizer': 'Adagrad'}
-0.561449 (1.774489) with: {'batch_size': 32, 'model__activation': 'tanh', 'model__num1': 400, 'model__num2': 200, 'model__optimizer': 'Adam'}
0.008233 (0.281259) with: {'batch_size': 32, 'model__activation': 'tanh', 'model__num1': 400, 'model__num2': 400, 'model__optimizer': 'SGD'}
0.419846 (0.040553) with: {'batch_size': 32, 'model__activation': 'tanh', 'model__num1': 400, 'model__num2': 400, 'model__optimizer': 'Adagrad'}
-3.042665 (0.082964) with: {'batch_size': 32, 'model__activation': 'tanh', 'model__num1': 400, 'model__num2': 400, 'model__optimizer': 'Adam'}
0.080096 (0.004701) with: {'batch_size': 32, 'model__activation': 'sigmoid', 'model__num1': 100, 'model__num2': 100, 'model__optimizer': 'SGD'}
0.008099 (0.008886) with: {'batch_size': 32, 'model__activation': 'sigmoid', 'model__num1': 100, 'model__num2': 100, 'model__optimizer': 'Adagrad'}
0.596356 (0.032314) with: {'batch_size': 32, 'model__activation': 'sigmoid', 'model__num1': 100, 'model__num2': 100, 'model__optimizer': 'Adam'}
0.062688 (0.003696) with: {'batch_size': 32, 'model__activation': 'sigmoid', 'model__num1': 100, 'model__num2': 200, 'model__optimizer': 'SGD'}
0.010225 (0.006548) with: {'batch_size': 32, 'model__activation': 'sigmoid', 'model__num1': 100, 'model__num2': 200, 'model__optimizer': 'Adagrad'}
0.598288 (0.016055) with: {'batch_size': 32, 'model__activation': 'sigmoid', 'model__num1': 100, 'model__num2': 200, 'model__optimizer': 'Adam'}
0.055192 (0.003129) with: {'batch_size': 32, 'model__activation': 'sigmoid', 'model__num1': 100, 'model__num2': 400, 'model__optimizer': 'SGD'}
0.002823 (0.005599) with: {'batch_size': 32, 'model__activation': 'sigmoid', 'model__num1': 100, 'model__num2': 400, 'model__optimizer': 'Adagrad'}
0.595634 (0.028498) with: {'batch_size': 32, 'model__activation': 'sigmoid', 'model__num1': 100, 'model__num2': 400, 'model__optimizer': 'Adam'}
0.096249 (0.018584) with: {'batch_size': 32, 'model__activation': 'sigmoid', 'model__num1': 200, 'model__num2': 100, 'model__optimizer': 'SGD'}
0.027376 (0.000253) with: {'batch_size': 32, 'model__activation': 'sigmoid', 'model__num1': 200, 'model__num2': 100, 'model__optimizer': 'Adagrad'}
0.608302 (0.032942) with: {'batch_size': 32, 'model__activation': 'sigmoid', 'model__num1': 200, 'model__num2': 100, 'model__optimizer': 'Adam'}
0.096918 (0.018874) with: {'batch_size': 32, 'model__activation': 'sigmoid', 'model__num1': 200, 'model__num2': 200, 'model__optimizer': 'SGD'}
0.035922 (0.005853) with: {'batch_size': 32, 'model__activation': 'sigmoid', 'model__num1': 200, 'model__num2': 200, 'model__optimizer': 'Adagrad'}
0.571323 (0.031562) with: {'batch_size': 32, 'model__activation': 'sigmoid', 'model__num1': 200, 'model__num2': 200, 'model__optimizer': 'Adam'}
0.085834 (0.001703) with: {'batch_size': 32, 'model__activation': 'sigmoid', 'model__num1': 200, 'model__num2': 400, 'model__optimizer': 'SGD'}
